id,chip,count
QWr74LdN4RoG62w4Enmm,0000184,0
QkyhmYiWAOS3FJvxETWv,0000112,0
Qp1T2SYG3LQzJS9ffEtA,0000009,6
R3wIlGCSDFDYrqxpIVnM,0000249,0
RG006euvaTrJxD2B6vW3,0000263,0
RHLZx1TPjPmqdSRBLClb,0000202,0
RMCS8gl8u9bafVgUXHTm,0000262,0
RXeF0aVHMpzp77OiZPwA,0000076,0
RZNys5RH8JKhYlyEk5bY,0000136,0
RaaWGNOYmV7ZwQSDbNdr,0000047,0
Rkbda6q20Wjmt7AK0YEt,0000091,0
SDa05Ac7dGaKjrItgd9K,0000134,0
TPHUNe6O77L84uO7iDGI,0000258,0
TW01L9Et8QHcAiBb6NlU,0000135,0
TalQWC2Aa2UTK0qnWEbr,0000119,0
TbfC7UAX6E3bhjdZCVp9,0000254,1
UAloa4jVQnxglPnrWkVC,0000272,0
UMyxhzUjZSOz7pZDBUXY,0000051,0
Ud94ExuwIDOmNQUfFlYG,0000069,0
UpUNhyUJSB2KvQIO52mi,0000241,0
UutY5k48VyfeltGClR6M,0000183,0
Uzd9ag9RuWFwA55d0ies,0000114,0
VC1I3me4foIS7wHp2FZK,0000013,0
VHO92aPkN2jxtv4dSvLC,0000257,0
VMS7UJV1dE9l9Ljhuu7n,0000141,0
VzG4f2D1C3H0TIAccikz,0000092,0
W35HTjn2G1WQlejZMSQf,0000022,0
WGhnqCVgJQgln8mWDZIr,0000207,1
WVtl4HBhYswCgFz8g8sL,0000170,0
WZNZ1o8m7Y0VVuzoPJtj,0000231,0
WkrUHnCRBCDCehYggI2b,0000206,0
XoSIuiCPcjpixBLr1OdG,0000026,0
Xxy3MC9gJW9waQRK88Jq,0000126,0
Y6EeaR3eZkrLCtijB9R0,0000185,0
Y7IH2I0F7Q3nsWV3NE6N,0000259,0
YGeqyKhgQcBl9pBFHyS9,0000089,0
YKfDGkn8yDyYRLSMO1RH,0000182,0
YRFMlVollqUjh9fEjIGr,0000137,0
YiAn3u1WjSdAFjCZrFmB,0000140,0
Yk3l8ciEWjgmvVL9ev7r,0000236,0
ZjgbMxp5exBsqC8BS78y,0000265,0
ZtpDY2YTy8qlBofjWj6G,0000138,0
aNTndJZN6KlZtFwC9gq5,0000194,0
aaMXVZjZTdq4JUuk2LfJ,0000121,0
bHyJEZGIlNWugsp8ipyu,0000139,0
bcwRtOTaaTWYGcmPDkmf,0000234,1
bhJRjqxE0DTFyli7cwVK,0000048,0
brtZcu5lAgEqDpLQxMcP,0000235,0
bzblQfm7lHvvLv1VbyyX,0000005,0
cNYiCD0w4QkKOJOpbvli,0000191,0
cOkqjk19MoFFXt134JxH,0000195,0
cacruILKjyDWUdRBlyQM,0000088,0
co2lvnc1QT5PeQwTI0aP,0000190,0
dDiSHuas6Gr8E72StxJ6,0000053,0
dErbONSrGsMB719L0sU4,0000037,0
daC1v2qI0J6QhuzPgHNC,0000224,1
eQKk7ebmdt0CqYalXiQv,0000261,0
exIlvBYZvyB572h9byLo,0000110,0
f3FZFxEneb0A7UZ1kOJV,0000059,0
fP3ZD3KigcTihznxGR7R,0000085,175
fPPNFyDjsSpDzEfQgPly,0000060,0
fZKcpKmwL0ivt9CV99bb,0000027,0
ftZbUTI0Qsl6QhG9KGBv,0000117,0
g4WP8I3qTktKtTkRCvvu,0000062,0
gAe9bJ6kA5licnnEafYD,0000264,0
gRC8w1eDjqEAq7psRdCK,0000142,0
gRV0SVf7XugTKAapNc5j,0000233,0
gib5tKSuVj1gCz2JSxD8,0000063,0
gswmwcMFeI2FcIvCXa0H,0000143,0
gxBx15aEQaLldcOHBFyg,0000145,0
h1hFgDom6tUfmwvI0wuz,0000012,0
hKPCvdi7PycIXnLQhw07,0000107,0
hgt49r5QjioULwyKcjKp,0000163,0
hla6HJBypPdGFQHZ3G0F,0000144,0
hlivnKkAZLOG0y6GhmFY,0000219,0
i2cHW5sKk6SbKhw6vMQA,0000090,0
iZJc3l9Pt3iTt96ITcE9,0000217,0
itQ30fdebHn35dlqZi7G,0000149,0
j2CpylTdGoF3raerivB5,0000024,0
j2j2wxd9hnTTMnLQcoFF,0000070,0
jZ5jLo6ku37kNTbPzq9c,0000276,0
jhF1YlrAF1mwAlXeA6JY,0000215,15
jjVHcKVCIlC0AFdGptQb,0000086,0
jmrGjJ8ISoNNmvCCDYx9,0000147,0
juwSq4dOFLcobnp3Cz6I,0000010,6
kIMGTR7Arf3ccceipVp9,0000102,0
kOCCF8BK6WGfCWh9qA6W,0000003,0
kUVlXgFqTud9o1LyDANC,0000203,0
kZQTXlRQStl2vicybFiF,0000245,0
kenbizmE2VD33TykGwep,0000103,0
kfiNaSZpUBm90riaujt7,0000058,0
kirQgm0cmpeCIWTeKTiB,0000192,0
kqNEvNHbGaT52rkqt3ke,0000255,1
l3BfsRnHEH4Xjy7whIiK,0000084,0
lPRPGVTBY72xnQgtFXYV,0000167,0
lZhxwpaZKmRpd72jg92f,0000150,0
lgnRPlCQ3nHAMDPJFpQY,0000095,0
llMrxzJt5W706uVb3GNE,0000099,0
m4D1c7T3vQFIHeHHfd6P,0000015,0
mBz7MUTxxihLqAnA3Tsh,0000118,0
mKvFAPQaQhYVU55PNKTs,0000197,0
mOkiggMUtTagiAoCopiT,0000108,0
mUukEewtHaYrGbKWalMp,0000049,0
ntt0Q5rzjWTYPJZuCKo9,0000056,0
nvV2sQTuoQjPrnrMlOY2,0000226,0
oBGvAr84hVILmb3uZb3B,0000244,0
obYTP956gDK3bX9mYafJ,0000210,1
op6WwwG9OWQHjmdfcDs8,0000019,0
orWRPdu9uabNt7ZEs3e5,0000152,0
p66PXBX1nA5ZAWAP3Thj,0000225,0
pCSwAMaHiTgD9FR3bs0v,0000175,0
qn1cnhu9pMBN2ixa9q3N,0000115,0
qsf7duqzwCq1hY6VBNf0,0000178,0
rZER0FOmqmaSkYKvB4iw,0000151,0
rghnMxoA5coO7ixBNV9Z,0000073,0
rkU3fzH3Fm5GW8ymENTn,0000074,0
rv4Iyk51k3yGDX7w5ImN,0000214,8
sBENLodFQYGiXsRWio4I,0000158,0
sCyVRhOpPOT0reoVoXsG,0000106,0
sNxfjC5EQj3h3O1lrMq1,0000216,0
sb9yMqE4M9Ip4MLCBTaH,0000153,0
spMnX4RXbKigz3ZpxQ2O,0000124,2
svg6lDw4L9IyN4vTCPUs,0000071,0
sw1HqBTQEslXa82Hkpee,0000054,0
syMFY5LQPwUN6FiC7F6f,0000172,0
t71IZsd8iEEvKYO4JN07,0000066,0
tCVjLbecZVKZB5kW7Ynq,0000017,0
tK7ZRsIqfi21A7XLFcW5,0000160,0
tXO3bt5eero8PGVbEGPA,0000253,0
tZ25dj6aplgv8cFjfkNn,0000006,0
tlxYBbwfyMc97UmluhWO,0000174,0
tpJ5UTzSKIRypJ41tr1L,0000248,0
tqyZDNo1AEYTK5cqwym1,0000023,0
tuUn8WoZZL3XXHz6O8SH,0000004,0
uhPRhcvov7lHSqAxuQgi,0000155,0
ukcc0MQb5ZSaYJbk5uU3,0000120,0
uxxkqHtAYTRgdimhunQw,0000161,0
uznNyjjhcqHtG2mc0RgI,0000105,0
vWd5razKGu58e0ldWPfW,0000039,0
vYADku8iOG1JNCsnpiDM,0000156,0
vZJJp2PPgocm6GUetNCm,0000072,0
vhpyZetB2L020gzfWKQk,0000068,0
vprViTeUk9uHmTIzkkiH,0000001,0
wCx8AS7cSwafv5iNCRri,0000109,0
wXdAn93uQF8PVSJn59s9,0000168,0
wsIQ47eVLdoepF8qc2kc,0000250,5
x0Av0vCjtV9yqHsYj0xM,0000271,0
x9fClkBcvB171BD0svEW,0000100,0
xaTfUujQWrcqZWvTPF3u,0000238,0
xuiTIWgtamy5q2nTGp9T,0000077,0
yO4s7tIRDPm5eYsQoIas,0000228,0
ym27SKzTk6qXtxVy4lWn,0000181,0
ysb5idIYOIwJyRIqet4Y,0000065,0
zFTWxycOR4SuJ0IGCweV,0000252,1
zNCeoRAO75xq1RDY51HE,0000267,0
zRQEGipBuoivOWCCDy0i,0000164,0
zS22CNDjRcg527acdpxd,0000025,0
zbRWF84zMVo2DLURhbIc,0000171,0


DONE
